entityId,nodes
gpt-5-6-terra,"[""gpt-5-6-terra"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-opus-5,"[""claude-opus-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-3-6-flash,"[""gemini-3-6-flash"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
llama-4-maverick,"[""llama-4-maverick"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
kimi-k2-7-code,"[""kimi-k2-7-code"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
mistral-small-4,"[""mistral-small-4"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
flux-2,"[""flux-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
olmoe,"[""olmoe"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-6-luna,"[""gpt-5-6-luna"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-sonnet-5,"[""claude-sonnet-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-3-5-flash,"[""gemini-3-5-flash"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
llama-guard-4,"[""llama-guard-4"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
kimi-k2-6,"[""kimi-k2-6"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
mistral-large-3,"[""mistral-large-3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
stable-diffusion-3-5,"[""stable-diffusion-3-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
falcon-3,"[""falcon-3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-5,"[""gpt-5-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-opus-4-8,"[""claude-opus-4-8"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-3-1-pro,"[""gemini-3-1-pro"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
llama-3-3-70b,"[""llama-3-3-70b"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
deepseek-v4-pro,"[""deepseek-v4-pro"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
devstral-2,"[""devstral-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
stable-audio,"[""stable-audio"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
ibm-granite-4,"[""ibm-granite-4"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-3-codex,"[""gpt-5-3-codex"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-opus-4-7,"[""claude-opus-4-7"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
nano-banana-2,"[""nano-banana-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
meta-movie-gen,"[""meta-movie-gen"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
deepseek-v4-flash,"[""deepseek-v4-flash"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
mistral-ocr-4,"[""mistral-ocr-4"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
midjourney-v7,"[""midjourney-v7"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
dbrx,"[""dbrx"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-2,"[""gpt-5-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-sonnet-4-6,"[""claude-sonnet-4-6"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
nano-banana-2-lite,"[""nano-banana-2-lite"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
muse-spark,"[""muse-spark"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
deepseek-r1,"[""deepseek-r1"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
robostral-navigate,"[""robostral-navigate"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
runway-gen-4,"[""runway-gen-4"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
cerebras-gpt,"[""cerebras-gpt"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-1,"[""gpt-5-1"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-sonnet-4-5,"[""claude-sonnet-4-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
nano-banana-pro,"[""nano-banana-pro"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
grok-4-5,"[""grok-4-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
qwen3-max,"[""qwen3-max"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
shieldstral,"[""shieldstral"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
luma-ray,"[""luma-ray"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
command-r-open,"[""command-r-open"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5,"[""gpt-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-haiku-4-5,"[""claude-haiku-4-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-omni-flash,"[""gemini-omni-flash"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
grok-imagine,"[""grok-imagine"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
qwen3,"[""qwen3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
voxtral,"[""voxtral"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
pika-2-2,"[""pika-2-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
esm3,"[""esm3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-mini,"[""gpt-5-mini"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
veo-3-1,"[""veo-3-1"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
grok-voice,"[""grok-voice"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
qwen-coder,"[""qwen-coder"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
codestral,"[""codestral"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
ideogram-3-0,"[""ideogram-3-0"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
evo-2,"[""evo-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-nano,"[""gpt-5-nano"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
lyria-3-pro,"[""lyria-3-pro"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
qwen-vl,"[""qwen-vl"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
cohere-command-a,"[""cohere-command-a"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
eleven-v3,"[""eleven-v3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
progen3,"[""progen3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
o3,"[""o3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-embedding-2,"[""gemini-embedding-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
glm-5-3,"[""glm-5-3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
north-mini-code,"[""north-mini-code"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
suno-v5,"[""suno-v5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
bionemo,"[""bionemo"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
o4-mini,"[""o4-mini"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-robotics-er-2,"[""gemini-robotics-er-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
glm-5-2,"[""glm-5-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
cohere-embed,"[""cohere-embed"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
udio-2,"[""udio-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
sora-2,"[""sora-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-robotics-er-1-6,"[""gemini-robotics-er-1-6"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
doubao-model,"[""doubao-model"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
aleph-alpha-luminous,"[""aleph-alpha-luminous"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-image-2,"[""gpt-image-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
alphafold-3,"[""alphafold-3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
hunyuan,"[""hunyuan"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
ai21-jamba,"[""ai21-jamba"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-oss-120b,"[""gpt-oss-120b"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
ernie,"[""ernie"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
mimo-v2-5-pro,"[""mimo-v2-5-pro"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
minimax-m3,"[""minimax-m3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-6-astra,"[""gpt-6-astra"",""openai"",""azure"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-3-8-flash,"[""gemini-3-8-flash"",""deepmind"",""google-tpu"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-mythos-5,"[""claude-mythos-5"",""anthropic"",""aws"",""aws-trainium"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemma-3,"[""gemma-3"",""deepmind"",""google-tpu"",""tsmc"",""asml"",""photoresists"",""silicon""]"
phi-4,"[""phi-4"",""microsoft-ai"",""azure"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
amazon-nova-premier,"[""amazon-nova-premier"",""amazon-agi-lab"",""aws"",""aws-trainium"",""tsmc"",""asml"",""photoresists"",""silicon""]"
nemotron-ultra,"[""nemotron-ultra"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
apple-on-device-model,"[""apple-on-device-model"",""apple-foundation-models"",""apple-m-series"",""tsmc"",""asml"",""photoresists"",""silicon""]"
yi-large,"[""yi-large"",""01-ai"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
llama-3-1-405b,"[""llama-3-1-405b"",""meta-ai"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
deepseek-v3,"[""deepseek-v3"",""deepseek"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
qwen2-5-max,"[""qwen2-5-max"",""qwen"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
