source,target,type,explanation,status,sourceUrl,activeFrom,activeTo
tsmc,maia,MANUFACTURES,Microsoft states that Maia 100 is made on TSMC’s 5nm node with advanced packaging.,confirmed,https://azure.microsoft.com/en-us/blog/azure-maia-for-the-era-of-ai-from-silicon-to-software-to-systems/,,
tsmc,broadcom,MANUFACTURES,Broadcom identifies TSMC as a key foundry and says it increasingly relies on TSMC for advanced-node manufacturing.,confirmed,https://investors.broadcom.com/static-files/58d9236c-142c-4878-8f18-b862132c125e,,
tsmc,meta-mtia,MANUFACTURES,Meta identifies TSMC 7nm and 5nm as the process technologies used for the first two MTIA generations; this replaces the unsupported Samsung Foundry edge.,confirmed,https://ai.meta.com/blog/next-generation-meta-training-inference-accelerator-AI-MTIA/,,
intel-foundry,intel,MANUFACTURES,Intel states that it both designs and manufactures its own technology through Intel Foundry.,confirmed,https://www.intel.com/content/www/us/en/company-overview/company-overview.html,,
tsmc,nvidia,PROVIDES_PACKAGING_TO,TSMC provides advanced packaging services including CoWoS; NVIDIA use is publicly reported but not identified by customer in TSMC’s annual report.,reported,https://investor.tsmc.com/english/annual-reports,,
ase,amd,SUPPLIES,"ASE reports receiving an AMD customer appreciation award, supporting an assembly, test, or packaging supplier relationship.",confirmed,https://ase.aseglobal.com/public/downloads/en/ASE_2011_CSR_EN_Final.pdf,,
sk-hynix,nvidia,PROVIDES_MEMORY_TO,HBM is paired with NVIDIA accelerators.,confirmed,,,
micron,nvidia,PROVIDES_MEMORY_TO,Micron supplies HBM for accelerator platforms.,confirmed,,,
samsung-memory,amd,PROVIDES_MEMORY_TO,HBM supports high-bandwidth accelerator memory.,reported,,,
broadcom,google-tpu,DESIGNS,Broadcom has supported Google custom accelerator programs.,reported,,,
marvell,aws-trainium,PARTNERS_WITH,Custom silicon and infrastructure collaboration.,reported,,,
nvidia,supermicro,SUPPLIES,GPUs and networking form the core of AI server systems.,confirmed,,,
nvidia,dell,SUPPLIES,Accelerators power Dell AI server platforms.,confirmed,,,
nvidia,hpe,SUPPLIES,Accelerators power HPE AI systems.,confirmed,,,
amd,dell,SUPPLIES,Instinct and EPYC power AI systems.,confirmed,,,
arista,coreweave,PROVIDES_NETWORKING_TO,High-speed Ethernet connects AI clusters.,reported,,,
vertiv,coreweave,SUPPLIES,Power and cooling support dense GPU deployments.,reported,,,
schneider,digital-realty,SUPPLIES,Power and cooling infrastructure supports data centers.,representative,,,
corning,arista,SUPPLIES,Optical fiber connects high-bandwidth networks.,representative,,,
coreweave,openai,HOSTS,GPU cloud capacity has supported model workloads.,reported,,,
nvidia,aws,SUPPLIES,AWS offers large fleets of NVIDIA GPU instances.,confirmed,,,
nvidia,azure,SUPPLIES,Azure AI supercomputers use NVIDIA accelerators.,confirmed,,,
nvidia,google-cloud,SUPPLIES,Google Cloud offers NVIDIA GPU instances.,confirmed,,,
nvidia,oracle-cloud,SUPPLIES,OCI offers NVIDIA GPU clusters.,confirmed,,,
aws,aws-trainium,DESIGNS,AWS designs Trainium and Inferentia machine-learning accelerators for Amazon EC2.,confirmed,https://aws.amazon.com/silicon-innovation/,,
google-cloud,google-tpu,DESIGNS,Google develops its custom TPU accelerators and makes them available through Google Cloud.,confirmed,https://cloud.google.com/tpu,,
azure,maia,DESIGNS,Microsoft developed Maia as an in-house accelerator optimized for Azure AI infrastructure.,confirmed,https://azure.microsoft.com/en-us/blog/azure-maia-for-the-era-of-ai-from-silicon-to-software-to-systems/,,
openai,azure,TRAINS_ON,Azure infrastructure has supported OpenAI training and serving.,confirmed,,2019,
anthropic,aws,TRAINS_ON,AWS is Anthropic’s primary cloud and training partner.,confirmed,,2023,
anthropic,google-cloud,TRAINS_ON,Anthropic also uses Google Cloud infrastructure.,confirmed,,,
deepmind,google-cloud,RUNS_ON,Gemini training and serving uses Google infrastructure.,confirmed,,,
meta-ai,nvidia,TRAINS_ON,Meta trains large models on NVIDIA GPU clusters.,confirmed,,,
xai,nvidia,TRAINS_ON,xAI trains models on large NVIDIA GPU clusters.,confirmed,,,
mistral,azure,PARTNERS_WITH,Azure distributes and supports Mistral models.,confirmed,,,
cohere,oracle-cloud,PARTNERS_WITH,OCI provides infrastructure and distribution for Cohere.,confirmed,,,
deepseek,nvidia,TRAINS_ON,Public technical reports describe NVIDIA GPU training.,reported,,,
openai,microsoft-investment,INVESTS_IN,Microsoft is a major OpenAI investor and partner.,representative,,,
pytorch,openai,INTEGRATES_WITH,PyTorch is widely used for model research and training.,representative,,,
pytorch,meta-ai,DEPENDS_ON,PyTorch originated at Meta and underpins its AI stack.,confirmed,,,
jax,deepmind,INTEGRATES_WITH,JAX is central to Google research workloads.,confirmed,,,
cuda,nvidia,DEPENDS_ON,CUDA is NVIDIA’s vertically integrated software platform.,confirmed,,,
triton,cuda,RUNS_ON,Triton compiles GPU kernels for CUDA-class hardware.,confirmed,,,
vllm,cuda,RUNS_ON,vLLM commonly serves models on CUDA GPUs.,confirmed,,,
llamacpp,meta-ai,INTEGRATES_WITH,llama.cpp popularized efficient local execution of Llama-family models.,representative,,,
mlx,apple-silicon,RUNS_ON,MLX targets Apple silicon.,representative,,,
hugging-face,pytorch,INTEGRATES_WITH,Transformers integrates deeply with PyTorch.,confirmed,,,
ray,kubernetes,RUNS_ON,Ray clusters are commonly orchestrated with Kubernetes.,representative,,,
databricks,aws,RUNS_ON,Databricks operates across AWS and other clouds.,confirmed,,,
databricks,azure,RUNS_ON,Azure Databricks is a first-party integrated service.,confirmed,,,
pinecone,aws,RUNS_ON,Managed vector search uses cloud infrastructure.,representative,,,
together-ai,nvidia,RUNS_ON,Inference and training services use GPU infrastructure.,representative,,,
fireworks,nvidia,RUNS_ON,Inference services depend on GPU infrastructure.,representative,,,
openrouter,openai,INTEGRATES_WITH,Routes requests to OpenAI models.,confirmed,,,
openrouter,anthropic,INTEGRATES_WITH,Routes requests to Anthropic models.,confirmed,,,
chatgpt,openai,USES_MODEL_FROM,ChatGPT is the primary product interface for OpenAI models.,confirmed,,2022,
claude-code,anthropic,USES_MODEL_FROM,Claude Code wraps Claude models in a coding harness.,confirmed,,2025,
cursor,openai,USES_MODEL_FROM,Cursor supports OpenAI models among multiple providers.,confirmed,,,
cursor,anthropic,USES_MODEL_FROM,Cursor supports Claude models among multiple providers.,confirmed,,,
github-copilot,openai,USES_MODEL_FROM,Copilot has used OpenAI models alongside other models.,confirmed,,,
mcp,anthropic,DESIGNS,Anthropic introduced MCP as an open protocol.,confirmed,,2024,
claude-code,mcp,INTEGRATES_WITH,MCP connects Claude Code to external tools and context.,confirmed,,2024,
openai-agents,openai,USES_MODEL_FROM,SDK orchestrates OpenAI models and tools.,confirmed,,,
semantic-kernel,azure,INTEGRATES_WITH,Microsoft framework integrates Azure AI models and services.,confirmed,,,
perplexity,openai,USES_MODEL_FROM,Perplexity uses multiple foundation model providers.,reported,,,
perplexity,anthropic,USES_MODEL_FROM,Perplexity offers Claude-family models.,reported,,,
adobe,stability,COMPETES_WITH,Commercial creative model ecosystems overlap.,representative,,,
notion,openai,USES_MODEL_FROM,Notion has integrated OpenAI model capabilities.,reported,,,
salesforce,openai,PARTNERS_WITH,Enterprise model integrations connect Salesforce and OpenAI.,reported,,,
palantir,azure,RUNS_ON,Palantir AIP integrates with Azure environments.,reported,,,
nvidia-isaac,nvidia,RUNS_ON,Isaac and Jetson extend NVIDIA compute into robotics.,confirmed,,,
figure,nvidia-isaac,INTEGRATES_WITH,Humanoid development uses NVIDIA simulation and compute tools.,reported,,,
physical-intelligence,google-cloud,TRAINS_ON,Robot foundation model research depends on cloud-scale training.,inferred,,,
waymo,deepmind,PARTNERS_WITH,Both are part of Alphabet’s AI ecosystem.,representative,,,
tesla-ai,nvidia,DEPENDS_ON,NVIDIA hardware has historically supported training; Tesla also designs custom compute.,reported,,,
carl-zeiss-smt,asml,SUPPLIES,Carl Zeiss SMT supplies the high-performance optical subsystem used in ASML lithography scanners.,confirmed,https://www.asml.com/en/news/press-releases/2016/zeiss-and-asml-strengthen-partnership-for-next-generation-of-euv-lithography,,
cymer,asml,SUPPLIES,"Cymer, an ASML subsidiary, develops lithography light sources used with ASML systems.",confirmed,https://www.asml.com/en/company/about-asml/cymer,,
trumpf,asml,SUPPLIES,ASML identifies TRUMPF lasers as critical modules used in the EUV light source.,confirmed,https://www.asml.com/en/news/stories/2022/making-euv-lab-to-fab,,
lasertec,tsmc,PROVIDES_EQUIPMENT_TO,Inspection systems support advanced mask and wafer process control.,reported,,,
foxconn-industrial-internet,nvidia,PARTNERS_WITH,Foxconn manufactures and integrates NVIDIA-based AI factory systems.,confirmed,,,
quanta-cloud-technology,nvidia,PARTNERS_WITH,QCT builds NVIDIA-based rack-scale systems.,confirmed,,,
wiwynn,nvidia,PARTNERS_WITH,Wiwynn develops rack systems around NVIDIA platforms.,confirmed,,,
coolit-systems,nvidia,PARTNERS_WITH,Liquid-cooling technology supports high-density NVIDIA systems.,confirmed,,,
delta-electronics,nvidia,PARTNERS_WITH,Power and cooling systems participate in NVIDIA AI factory reference ecosystems.,confirmed,,,
ge-vernova,nvidia,PARTNERS_WITH,Power infrastructure participates in NVIDIA AI factory planning.,confirmed,,,
siemens-energy,nvidia,PARTNERS_WITH,Energy systems participate in AI factory infrastructure planning.,confirmed,,,
bechtel,nvidia,PARTNERS_WITH,Engineering collaboration supports gigawatt-scale AI factory design.,confirmed,,,
jacobs,nvidia,PARTNERS_WITH,Engineering collaboration supports AI factory digital twins.,confirmed,,,
lambda,nvidia,RUNS_ON,Lambda provides cloud access to NVIDIA accelerators.,confirmed,,,
crusoe,nvidia,RUNS_ON,Crusoe operates NVIDIA-based AI cloud infrastructure.,confirmed,,,
nscale,nvidia,RUNS_ON,Nscale builds AI cloud infrastructure around NVIDIA systems.,confirmed,,,
runpod,nvidia,RUNS_ON,RunPod offers NVIDIA GPU compute for AI workloads.,confirmed,,,
microsoft-ai,azure,RUNS_ON,Microsoft AI products and model development use Azure infrastructure.,confirmed,,,
amazon-agi-lab,aws,RUNS_ON,Amazon model development uses AWS infrastructure.,representative,,,
apple-foundation-models,apple-m-series,RUNS_ON,Apple foundation models are optimized for Apple silicon.,confirmed,,,
allen-institute-for-ai,hugging-face,INTEGRATES_WITH,AI2 distributes open models through the Hugging Face ecosystem.,confirmed,,,
black-forest-labs,hugging-face,INTEGRATES_WITH,Black Forest Labs distributes model artifacts through Hugging Face.,confirmed,,,
moonshot-ai,hugging-face,INTEGRATES_WITH,Moonshot publishes model artifacts through Hugging Face.,confirmed,,,
ollama,llamacpp,INTEGRATES_WITH,Ollama uses local inference runtimes including llama.cpp-derived components.,reported,,,
open-webui,ollama,INTEGRATES_WITH,Open WebUI commonly connects to Ollama for local model serving.,confirmed,,,
langgraph,langchain,INTEGRATES_WITH,LangGraph is part of the LangChain agent ecosystem.,confirmed,,,
microsoft-autogen,azure,INTEGRATES_WITH,AutoGen integrates with Azure-hosted models and services.,confirmed,,,
google-adk,deepmind,INTEGRATES_WITH,Google ADK supports Gemini models and Google’s agent ecosystem.,confirmed,,,
salesforce-agentforce,salesforce,INTEGRATES_WITH,Agentforce is Salesforce’s enterprise agent platform.,confirmed,,,
aws-bedrock-agents,aws,RUNS_ON,Bedrock Agents is a managed AWS service.,confirmed,,,
browserbase,browser-use,INTEGRATES_WITH,Hosted browsers provide execution infrastructure for browser agents.,reported,,,
playwright-mcp,mcp,INTEGRATES_WITH,Playwright MCP exposes browser automation through MCP.,confirmed,,,
microsoft-365-copilot,azure,RUNS_ON,Microsoft 365 Copilot is delivered through Microsoft cloud infrastructure.,confirmed,,,
google-workspace-gemini,deepmind,USES_MODEL_FROM,Workspace Gemini uses Google Gemini models.,confirmed,,,
intercom-fin,openai,USES_MODEL_FROM,Intercom Fin has used OpenAI model infrastructure.,reported,,,
synthesia,azure,RUNS_ON,Synthesia has publicly described Azure infrastructure relationships.,reported,,,
apptronik,nvidia-isaac,INTEGRATES_WITH,Apptronik participates in NVIDIA’s robotics ecosystem.,reported,,,
unitree-robotics,nvidia-isaac,INTEGRATES_WITH,NVIDIA’s humanoid reference workflow combines Unitree hardware with Jetson Thor compute and the Isaac GR00T development platform.,confirmed,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-NVIDIA-Isaac-GR00T-Reference-Humanoid-Robot-for-Academic-Research/default.aspx,,
ros-2,nvidia-isaac,INTEGRATES_WITH,Isaac ROS connects NVIDIA robotics acceleration to ROS 2.,confirmed,,,
openai,gpt-5-6-sol,DEVELOPS,OpenAI develops the GPT-5.6 Sol model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-6-terra,DEVELOPS,OpenAI develops the GPT-5.6 Terra model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-6-luna,DEVELOPS,OpenAI develops the GPT-5.6 Luna model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-5,DEVELOPS,OpenAI develops the GPT-5.5 model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-3-codex,DEVELOPS,OpenAI develops the GPT-5.3-Codex model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-2,DEVELOPS,OpenAI develops the GPT-5.2 model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-1,DEVELOPS,OpenAI develops the GPT-5.1 model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5,DEVELOPS,OpenAI develops the GPT-5 model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-mini,DEVELOPS,OpenAI develops the GPT-5 mini model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-5-nano,DEVELOPS,OpenAI develops the GPT-5 nano model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,o3,DEVELOPS,OpenAI develops the o3 model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,o4-mini,DEVELOPS,OpenAI develops the o4-mini model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,sora-2,DEVELOPS,OpenAI develops the Sora 2 model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-image-2,DEVELOPS,OpenAI develops the GPT-Image-2 model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
openai,gpt-oss-120b,DEVELOPS,OpenAI develops the gpt-oss-120b model or model family.,confirmed,https://developers.openai.com/api/docs/models,,
anthropic,claude-fable-5,DEVELOPS,Anthropic develops the Claude Fable 5 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
anthropic,claude-opus-5,DEVELOPS,Anthropic develops the Claude Opus 5 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
anthropic,claude-sonnet-5,DEVELOPS,Anthropic develops the Claude Sonnet 5 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
anthropic,claude-opus-4-8,DEVELOPS,Anthropic develops the Claude Opus 4.8 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
anthropic,claude-opus-4-7,DEVELOPS,Anthropic develops the Claude Opus 4.7 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
anthropic,claude-sonnet-4-6,DEVELOPS,Anthropic develops the Claude Sonnet 4.6 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
anthropic,claude-sonnet-4-5,DEVELOPS,Anthropic develops the Claude Sonnet 4.5 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
anthropic,claude-haiku-4-5,DEVELOPS,Anthropic develops the Claude Haiku 4.5 model or model family.,confirmed,https://platform.claude.com/docs/en/about-claude/models/overview,,
deepmind,gemini-3-7-flash,DEVELOPS,Google DeepMind develops the Gemini 3.7 Flash model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,gemini-3-6-flash,DEVELOPS,Google DeepMind develops the Gemini 3.6 Flash model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,gemini-3-5-flash,DEVELOPS,Google DeepMind develops the Gemini 3.5 Flash model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,gemini-3-1-pro,DEVELOPS,Google DeepMind develops the Gemini 3.1 Pro model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,nano-banana-2,DEVELOPS,Google DeepMind develops the Nano Banana 2 model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,nano-banana-2-lite,DEVELOPS,Google DeepMind develops the Nano Banana 2 Lite model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,nano-banana-pro,DEVELOPS,Google DeepMind develops the Nano Banana Pro model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,gemini-omni-flash,DEVELOPS,Google DeepMind develops the Gemini Omni Flash model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,veo-3-1,DEVELOPS,Google DeepMind develops the Veo 3.1 model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,lyria-3-pro,DEVELOPS,Google DeepMind develops the Lyria 3 Pro model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,gemini-embedding-2,DEVELOPS,Google DeepMind develops the Gemini Embedding 2 model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,gemini-robotics-er-2,DEVELOPS,Google DeepMind develops the Gemini Robotics-ER 2 model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,gemini-robotics-er-1-6,DEVELOPS,Google DeepMind develops the Gemini Robotics-ER 1.6 model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
deepmind,alphafold-3,DEVELOPS,Google DeepMind develops the AlphaFold 3 model or model family.,confirmed,https://ai.google.dev/gemini-api/docs/models,,
meta-ai,llama-4-scout,DEVELOPS,Meta AI develops the Llama 4 Scout model or model family.,confirmed,https://ai.meta.com/llama/get-started/,,
meta-ai,llama-4-maverick,DEVELOPS,Meta AI develops the Llama 4 Maverick model or model family.,confirmed,https://ai.meta.com/llama/get-started/,,
meta-ai,llama-guard-4,DEVELOPS,Meta AI develops the Llama Guard 4 model or model family.,confirmed,https://ai.meta.com/llama/get-started/,,
meta-ai,llama-3-3-70b,DEVELOPS,Meta AI develops the Llama 3.3 70B model or model family.,confirmed,https://ai.meta.com/llama/get-started/,,
meta-ai,meta-movie-gen,DEVELOPS,Meta AI develops the Meta Movie Gen model or model family.,confirmed,https://ai.meta.com/llama/get-started/,,
meta-ai,muse-spark,DEVELOPS,Meta AI develops the Muse Spark model or model family.,confirmed,https://ai.meta.com/llama/get-started/,,
xai,grok-4-5,DEVELOPS,xAI develops the Grok 4.5 model or model family.,confirmed,https://docs.x.ai/developers/models,,
xai,grok-imagine,DEVELOPS,xAI develops the Grok Imagine model or model family.,confirmed,https://docs.x.ai/developers/models,,
xai,grok-voice,DEVELOPS,xAI develops the Grok Voice model or model family.,confirmed,https://docs.x.ai/developers/models,,
moonshot-ai,kimi-k3,DEVELOPS,Moonshot AI develops the Kimi K3 model or model family.,confirmed,https://www.kimi.com/code/docs/en/kimi-code/models.html,,
moonshot-ai,kimi-k2-7-code,DEVELOPS,Moonshot AI develops the Kimi K2.7 Code model or model family.,confirmed,https://www.kimi.com/code/docs/en/kimi-code/models.html,,
moonshot-ai,kimi-k2-6,DEVELOPS,Moonshot AI develops the Kimi K2.6 model or model family.,confirmed,https://www.kimi.com/code/docs/en/kimi-code/models.html,,
deepseek,deepseek-v4-pro,DEVELOPS,DeepSeek develops the DeepSeek V4 Pro model or model family.,confirmed,https://api-docs.deepseek.com/quick_start/pricing,,
deepseek,deepseek-v4-flash,DEVELOPS,DeepSeek develops the DeepSeek V4 Flash model or model family.,confirmed,https://api-docs.deepseek.com/quick_start/pricing,,
deepseek,deepseek-r1,DEVELOPS,DeepSeek develops the DeepSeek R1 model or model family.,confirmed,https://api-docs.deepseek.com/quick_start/pricing,,
qwen,qwen3-max,DEVELOPS,Qwen / Alibaba develops the Qwen3-Max model or model family.,confirmed,https://qwenlm.github.io/blog/,,
qwen,qwen3,DEVELOPS,Qwen / Alibaba develops the Qwen3 model or model family.,confirmed,https://qwenlm.github.io/blog/,,
qwen,qwen-coder,DEVELOPS,Qwen / Alibaba develops the Qwen Coder model or model family.,confirmed,https://qwenlm.github.io/blog/,,
qwen,qwen-vl,DEVELOPS,Qwen / Alibaba develops the Qwen-VL model or model family.,confirmed,https://qwenlm.github.io/blog/,,
zhipu-ai,glm-5-3,DEVELOPS,Zhipu AI develops the GLM-5.3 model or model family.,confirmed,https://z.ai/blog/glm-5.3,,
zhipu-ai,glm-5-2,DEVELOPS,Zhipu AI develops the GLM-5.2 model or model family.,confirmed,https://z.ai/blog/glm-5.3,,
bytedance-seed,doubao-model,DEVELOPS,ByteDance Seed develops the Doubao Model model or model family.,confirmed,https://seed.bytedance.com/,,
tencent-hunyuan,hunyuan,DEVELOPS,Tencent Hunyuan develops the Hunyuan model or model family.,confirmed,https://hunyuan.tencent.com/,,
baidu-ernie,ernie,DEVELOPS,Baidu ERNIE develops the ERNIE model or model family.,confirmed,https://yiyan.baidu.com/,,
minimax,minimax-m3,DEVELOPS,MiniMax develops the MiniMax M3 model or model family.,confirmed,https://www.minimax.io/news,,
mistral,mistral-medium-3-5,DEVELOPS,Mistral AI develops the Mistral Medium 3.5 model or model family.,confirmed,https://mistral.ai/news/,,
mistral,mistral-small-4,DEVELOPS,Mistral AI develops the Mistral Small 4 model or model family.,confirmed,https://mistral.ai/news/,,
mistral,mistral-large-3,DEVELOPS,Mistral AI develops the Mistral Large 3 model or model family.,confirmed,https://mistral.ai/news/,,
mistral,devstral-2,DEVELOPS,Mistral AI develops the Devstral 2 model or model family.,confirmed,https://mistral.ai/news/,,
mistral,mistral-ocr-4,DEVELOPS,Mistral AI develops the Mistral OCR 4 model or model family.,confirmed,https://mistral.ai/news/,,
mistral,robostral-navigate,DEVELOPS,Mistral AI develops the Robostral Navigate model or model family.,confirmed,https://mistral.ai/news/,,
mistral,shieldstral,DEVELOPS,Mistral AI develops the Shieldstral model or model family.,confirmed,https://mistral.ai/news/,,
mistral,voxtral,DEVELOPS,Mistral AI develops the Voxtral model or model family.,confirmed,https://mistral.ai/news/,,
mistral,codestral,DEVELOPS,Mistral AI develops the Codestral model or model family.,confirmed,https://mistral.ai/news/,,
cohere,cohere-command-a,DEVELOPS,Cohere develops the Cohere Command A+ model or model family.,confirmed,https://cohere.com/blog/command-a-plus,,
cohere,north-mini-code,DEVELOPS,Cohere develops the North Mini Code model or model family.,confirmed,https://cohere.com/blog/command-a-plus,,
cohere,cohere-embed,DEVELOPS,Cohere develops the Cohere Embed model or model family.,confirmed,https://cohere.com/blog/command-a-plus,,
cohere,command-r-open,DEVELOPS,Cohere develops the Command R Open model or model family.,confirmed,https://cohere.com/blog/command-a-plus,,
stability,stable-diffusion-3-5,DEVELOPS,Stability AI develops the Stable Diffusion 3.5 model or model family.,confirmed,https://stability.ai/,,
stability,stable-audio,DEVELOPS,Stability AI develops the Stable Audio model or model family.,confirmed,https://stability.ai/,,
black-forest-labs,flux-1,DEVELOPS,Black Forest Labs develops the FLUX.1 model or model family.,confirmed,https://blackforestlabs.ai/,,
black-forest-labs,flux-2,DEVELOPS,Black Forest Labs develops the FLUX.2 model or model family.,confirmed,https://blackforestlabs.ai/,,
midjourney,midjourney-v7,DEVELOPS,Midjourney develops the Midjourney V7 model or model family.,confirmed,https://www.midjourney.com/,,
runway,runway-gen-4,DEVELOPS,Runway develops the Runway Gen-4 model or model family.,confirmed,https://runwayml.com/,,
