id,network_id,source_node,target_node,confidence,relationship,notes,source_url
broadnet-sh-gz,china-broadnet,shanghai,guangzhou,logical,interconnection,"Logical connection between national backbone interconnection points.",https://www.nrta.gov.cn/art/2018/6/12/art_114_38173.html
cernet-bj-xa,cernet,beijing,xian,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-xa-cd,cernet,xian,chengdu,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-cd-wh,cernet,chengdu,wuhan,documented_topology,published backbone link,"Topology link through Chongqing corridor.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-wh-nj,cernet,wuhan,nanjing,documented_topology,published backbone link,"Topology link through Hefei corridor.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-nj-sh,cernet,nanjing,shanghai,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-sh-hz,cernet,shanghai,hangzhou,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-wh-cs,cernet,wuhan,changsha,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-cs-gz,cernet,changsha,guangzhou,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-gz-sz,cernet,guangzhou,shenzhen,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-sz-xm,cernet,shenzhen,xiamen,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-bj-tj,cernet,beijing,tianjin,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-bj-sy,cernet,beijing,shenyang,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-sy-cc,cernet,shenyang,changchun,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet-cc-heb,cernet,changchun,harbin,documented_topology,published backbone link,"Topology link, not surveyed fiber alignment.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet2-bj-sh,cernet2,beijing,shanghai,documented_topology,representative mesh link,"Representative published CERNET2 mesh core.",https://cerecp.cernet.edu.cn/en/topology/cernet.shtml
cernet2-sh-gz,cernet2,shanghai,guangzhou,documented_topology,representative mesh link,"Representative published CERNET2 mesh core.",https://cerecp.cernet.edu.cn/en/topology/cernet.shtml
cernet2-gz-wh,cernet2,guangzhou,wuhan,documented_topology,representative mesh link,"Representative published CERNET2 mesh core.",https://cerecp.cernet.edu.cn/en/topology/cernet.shtml
cernet2-wh-bj,cernet2,wuhan,beijing,documented_topology,representative mesh link,"Representative published CERNET2 mesh core.",https://cerecp.cernet.edu.cn/en/topology/cernet.shtml
cstnet-bj-sh,cstnet,beijing,shanghai,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-gz,cstnet,beijing,guangzhou,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-cd,cstnet,beijing,chengdu,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-wh,cstnet,beijing,wuhan,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-nj,cstnet,beijing,nanjing,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-sy,cstnet,beijing,shenyang,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-cc,cstnet,beijing,changchun,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-km,cstnet,beijing,kunming,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-xa,cstnet,beijing,xian,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-lz,cstnet,beijing,lanzhou,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-urumqi,cstnet,beijing,urumqi,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
cstnet-bj-hf,cstnet,beijing,hefei,logical,operating-center connectivity,"Logical connection between reported CSTNET operating centers.",https://www.cstnet.cn/runing
