id,campus_id,backbone_node_id,national_hub_id,network_scope,confidence,distance_to_backbone_km,distance_to_national_hub_km,relationship,description,source_url,methodology_url,verified_on
access-tencent-beijing,tencent-beijing,beijing,hub-zhangjiakou,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,161,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Beijing Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-tencent-shanghai,tencent-shanghai,shanghai,hub-yangtze-eco,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,50,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Shanghai Region to Shanghai, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-tencent-guangzhou,tencent-guangzhou,guangzhou,hub-shaoguan,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,185,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Guangzhou Region to Guangzhou, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-tencent-nanjing,tencent-nanjing,nanjing,hub-wuhu,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,86,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Nanjing Region to Nanjing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-tencent-chengdu,tencent-chengdu,chengdu,hub-tianfu,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,23,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Chengdu Region to Chengdu, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-tencent-chongqing,tencent-chongqing,chongqing,hub-chongqing,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,38,0,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Chongqing Region to Chongqing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-tencent-shenzhen-finance,tencent-shenzhen-finance,shenzhen,hub-shaoguan,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,253,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Shenzhen Finance Region to Shenzhen, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-tencent-shanghai-finance,tencent-shanghai-finance,shanghai,hub-yangtze-eco,Tencent Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,40,nearest documented backbone hub and national computing cluster,"Cartographic access link from Tencent Cloud Shanghai Finance Region to Shanghai, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-chindata-datong-taihang,chindata-datong-taihang,beijing,hub-horinger,Chindata Group private WAN plus undisclosed licensed carrier access,inferred_last_mile,265,130,nearest documented backbone hub and national computing cluster,"Cartographic access link from Taihang Mountain Energy and IT Industrial Campus to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.chindatagroup.com/upload/admin/20200820/4c6f5ad6d5abf794547e7d6b41a6f195.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-chindata-zhangjiakou-cluster,chindata-zhangjiakou-cluster,beijing,hub-zhangjiakou,Chindata Group private WAN plus undisclosed licensed carrier access,inferred_last_mile,162,7,nearest documented backbone hub and national computing cluster,"Cartographic access link from Chindata Zhangjiakou Cluster to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.chindatagroup.com/upload/admin/20200820/4c6f5ad6d5abf794547e7d6b41a6f195.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-china-mobile-huainan,china-mobile-huainan,hefei,hub-wuhu,CMNET / China Mobile,inferred_last_mile,92,196,nearest documented backbone hub and national computing cluster,"Cartographic access link from China Mobile Huainan Data Center to Hefei, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.chinamobileltd.com/en/ir/reports/ar2023.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-china-mobile-nanjing,china-mobile-nanjing,nanjing,hub-wuhu,CMNET / China Mobile,inferred_last_mile,6,91,nearest documented backbone hub and national computing cluster,"Cartographic access link from China Mobile Nanjing Data Center to Nanjing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.chinamobileltd.com/en/ir/reports/ar2023.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-volcengine-beijing,volcengine-beijing,beijing,hub-zhangjiakou,Volcengine private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,161,nearest documented backbone hub and national computing cluster,"Cartographic access link from Volcengine Beijing Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.volcengine.com/docs/6534/1131814,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-volcengine-beijing-2,volcengine-beijing-2,beijing,hub-zhangjiakou,Volcengine private WAN plus undisclosed licensed carrier access,inferred_last_mile,10,153,nearest documented backbone hub and national computing cluster,"Cartographic access link from Volcengine Beijing 2 Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.volcengine.com/docs/6534/1131814,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-volcengine-datong,volcengine-datong,beijing,hub-horinger,Volcengine private WAN plus undisclosed licensed carrier access,inferred_last_mile,271,124,nearest documented backbone hub and national computing cluster,"Cartographic access link from Volcengine Datong Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.volcengine.com/docs/6534/1131814,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-volcengine-ulanqab,volcengine-ulanqab,beijing,hub-horinger,Volcengine private WAN plus undisclosed licensed carrier access,inferred_last_mile,300,137,nearest documented backbone hub and national computing cluster,"Cartographic access link from Volcengine Ulanqab Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.volcengine.com/docs/6534/1131814,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-volcengine-shanghai,volcengine-shanghai,shanghai,hub-yangtze-eco,Volcengine private WAN plus undisclosed licensed carrier access,inferred_last_mile,8,52,nearest documented backbone hub and national computing cluster,"Cartographic access link from Volcengine Shanghai Region to Shanghai, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.volcengine.com/docs/6534/1131814,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-volcengine-guangzhou,volcengine-guangzhou,guangzhou,hub-shaoguan,Volcengine private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,194,nearest documented backbone hub and national computing cluster,"Cartographic access link from Volcengine Guangzhou Region to Guangzhou, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.volcengine.com/docs/6534/1131814,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-huawei-beijing,huawei-beijing,beijing,hub-zhangjiakou,Huawei Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,7,155,nearest documented backbone hub and national computing cluster,"Cartographic access link from Huawei Cloud Beijing Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-huawei-ulanqab,huawei-ulanqab,beijing,hub-horinger,Huawei Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,305,123,nearest documented backbone hub and national computing cluster,"Cartographic access link from Huawei Cloud Ulanqab Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-huawei-shanghai-1,huawei-shanghai-1,shanghai,hub-yangtze-eco,Huawei Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,47,nearest documented backbone hub and national computing cluster,"Cartographic access link from Huawei Cloud Shanghai 1 Region to Shanghai, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-huawei-shanghai-2,huawei-shanghai-2,shanghai,hub-yangtze-eco,Huawei Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,44,nearest documented backbone hub and national computing cluster,"Cartographic access link from Huawei Cloud Shanghai 2 Region to Shanghai, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-huawei-guangzhou,huawei-guangzhou,guangzhou,hub-shaoguan,Huawei Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,8,189,nearest documented backbone hub and national computing cluster,"Cartographic access link from Huawei Cloud Guangzhou Region to Guangzhou, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-huawei-shenzhen,huawei-shenzhen,shenzhen,hub-shaoguan,Huawei Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,6,260,nearest documented backbone hub and national computing cluster,"Cartographic access link from Huawei Cloud Shenzhen Region to Shenzhen, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-huawei-guiyang,huawei-guiyang,chongqing,hub-guian,Huawei Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,324,27,nearest documented backbone hub and national computing cluster,"Cartographic access link from Huawei Cloud Guiyang Region to Chongqing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-aws-china-beijing,aws-china-beijing,beijing,hub-zhangjiakou,AWS China private backbone plus licensed Chinese carriers,inferred_last_mile,8,153,nearest documented backbone hub and national computing cluster,"Cartographic access link from AWS China Beijing Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://docs.aws.amazon.com/documentdb/latest/devguide/regions-and-azs.html,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-aws-china-ningxia,aws-china-ningxia,lanzhou,hub-zhongwei,AWS China private backbone plus licensed Chinese carriers,inferred_last_mile,208,7,nearest documented backbone hub and national computing cluster,"Cartographic access link from AWS China Ningxia Region to Lanzhou, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://docs.aws.amazon.com/documentdb/latest/devguide/regions-and-azs.html,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
