id,name,operator,city,country,latitude,longitude,coordinate_precision,status,campus_type,capacity_mw,facilities,description,services,source_url,verified_on,notes
ntt-hong-kong,NTT Hong Kong Campus,NTT DATA,Hong Kong,Hong Kong,22.3193,114.1694,metro,Operational,Metro campus,,3,Hong Kong footprint spanning Financial 1 and 2 plus Tai Po.,Colocation; financial services; carrier-neutral connectivity,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/asia-pacific,2026-09-03,Metro-level point; physically separate facilities are summarized.
ntt-serangoon,NTT Serangoon,NTT DATA,Serangoon,Singapore,1.3554,103.8679,locality,Operational,Data center,12,1,Smart-building data center with green design features.,Colocation; carrier-neutral connectivity,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/asia-pacific,2026-09-03,Locality-level point.
ntt-india-mumbai,NTT Mumbai Campus,NTT DATA,Mumbai,India,19.1260,72.9077,metro,Operational,Metro campus,,7,NTT's largest India market with multiple Mumbai and Navi Mumbai facilities.,Colocation; cloud connectivity; managed hosting,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/india,2026-09-03,Seven named facilities grouped at metro level.
ntt-india-bengaluru,NTT Bengaluru Campus,NTT DATA,Bengaluru,India,12.9716,77.5946,metro,Operational,Metro campus,,3,Bengaluru footprint comprising data centers 2 3 and 4.,Colocation; cloud connectivity; managed hosting,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/india,2026-09-03,Three named facilities grouped at metro level.
ntt-india-chennai,NTT Chennai Campus,NTT DATA,Chennai,India,13.1227,80.2307,metro,Operational,Metro campus,,2,Chennai footprint comprising Chennai 1 and 2.,Colocation; cloud connectivity; managed hosting,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/india,2026-09-03,Two named facilities grouped at metro level.
ntt-india-noida,NTT Noida Campus,NTT DATA,Noida,India,28.5355,77.3910,metro,Operational,Metro campus,,2,Delhi NCR footprint comprising Noida 1 and 2.,Colocation; cloud connectivity; managed hosting,https://services.global.ntt/en-in/services-and-products/global-data-centers/global-locations/india/delhi-ncr-data-centers,2026-09-03,Two named facilities grouped at metro level.
digital-realty-tokyo,Digital Realty Tokyo Campus,Digital Realty,Tokyo,Japan,35.7162,139.6103,metro,Operational,AI-ready campus,,4,Four-facility Tokyo platform designed for connected and high-density deployments.,Colocation; PlatformDIGITAL; cloud on-ramps; AI-ready capacity,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,Metro-level campus point.
digital-realty-osaka,Digital Realty Osaka Campus,Digital Realty,Osaka,Japan,34.7337,135.5123,metro,Operational,Metro campus,,4,Four-facility Osaka platform with move-in-ready capacity.,Colocation; PlatformDIGITAL; cloud on-ramps,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,Metro-level campus point.
digital-realty-singapore,Digital Realty Singapore Campus,Digital Realty,Singapore,Singapore,1.3121,103.8598,city,Operational,Metro campus,,3,Three-facility Singapore platform with dense regional connectivity.,Colocation; PlatformDIGITAL; cloud on-ramps,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,City-level campus point.
digital-realty-hong-kong,Digital Realty Hong Kong Campus,Digital Realty,Hong Kong,Hong Kong,22.2793,114.2094,metro,Operational,Metro campus,,2,Two-facility Hong Kong platform with Tier III design and construction certification.,Colocation; PlatformDIGITAL; cloud on-ramps,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,Metro-level campus point.
digital-realty-jakarta,Digital Realty Jakarta Campus,Digital Realty,Jakarta,Indonesia,-6.2488,106.8056,metro,Operational,Metro campus,,2,Two-facility platform serving Indonesia's largest digital market.,Colocation; PlatformDIGITAL; cloud connectivity,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,Metro-level campus point.
digital-realty-kuala-lumpur,Digital Realty Kuala Lumpur Campus,Digital Realty,Cyberjaya,Malaysia,2.9613,101.6959,locality,Operational,Metro campus,,2,Two-facility platform in the established Cyberjaya data-center hub.,Colocation; PlatformDIGITAL; cloud on-ramps,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,Locality-level campus point.
digital-realty-seoul,Digital Realty Seoul Campus,Digital Realty,Seoul,South Korea,37.5665,126.9780,metro,Operational,Data center,,1,Facility in Sangam Digital Media City serving the Seoul market.,Colocation; PlatformDIGITAL; cloud connectivity,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,Metro-level point.
digital-realty-chennai,Digital Realty Chennai Campus,Digital Realty,Chennai,India,13.0427,80.3107,metro,Operational,Data center,,1,Digital Realty's gateway campus for South Asia.,Colocation; PlatformDIGITAL; cloud connectivity,https://www.digitalrealty.com/data-centers/asia-pacific,2026-09-03,Metro-level point.
equinix-mumbai,Equinix Mumbai Campus,Equinix,Mumbai,India,19.0360,72.9177,metro,Operational,Connected campus,,,Interconnection campus for India's primary cloud and network market.,IBX colocation; interconnection; cloud on-ramps,https://www.equinix.com/data-centers/asia-pacific-colocation,2026-09-03,Metro-level point.
equinix-tokyo,Equinix Tokyo Campus,Equinix,Tokyo,Japan,35.6362,139.6903,metro,Operational,Connected campus,,,Large connected campus serving Tokyo's network and cloud ecosystem.,IBX colocation; interconnection; cloud on-ramps,https://www.equinix.com/data-centers/asia-pacific-colocation,2026-09-03,Metro-level point.
equinix-osaka,Equinix Osaka Campus,Equinix,Osaka,Japan,34.6537,135.4723,metro,Operational,Connected campus,,,Carrier-neutral interconnection campus for the Kansai region.,IBX colocation; interconnection; cloud on-ramps,https://www.equinix.com/data-centers/asia-pacific-colocation,2026-09-03,Metro-level point.
equinix-singapore,Equinix Singapore Campus,Equinix,Singapore,Singapore,1.3321,103.8998,city,Operational,Connected campus,,,Dense interconnection campus linking Southeast Asia with global networks.,IBX colocation; interconnection; cloud on-ramps,https://www.equinix.com/data-centers/asia-pacific-colocation,2026-09-03,City-level point.
equinix-hong-kong,Equinix Hong Kong Campus,Equinix,Hong Kong,Hong Kong,22.3593,114.1294,metro,Operational,Citywide connected campus,,,Citywide connected campus designed for resiliency and resource allocation.,IBX colocation; interconnection; cloud on-ramps,https://www.equinix.com/data-centers/asia-pacific-colocation,2026-09-03,Metro-level point.
equinix-seoul,Equinix Seoul Campus,Equinix,Seoul,South Korea,37.5265,127.0180,metro,Operational,Connected campus,,,Interconnection campus in one of Asia's leading financial and commercial hubs.,IBX colocation; interconnection; cloud on-ramps,https://www.equinix.com/data-centers/asia-pacific-colocation,2026-09-03,Metro-level point.
equinix-johor,Equinix Johor Campus,Equinix,Johor,Malaysia,1.4727,103.6614,region,Operational,Connected campus,,,Johor campus positioned close to Singapore and the Malaysian market.,IBX colocation; interconnection; cloud on-ramps,https://www.equinix.com/data-centers/asia-pacific-colocation,2026-09-03,Regional point.
alibaba-hangzhou,Alibaba Cloud Hangzhou Region,Alibaba Cloud,Hangzhou,China,30.2741,120.1551,metro,Operational,Cloud region / multi-zone footprint,,8,"Published Alibaba Cloud compute footprint in Hangzhou, representing 8 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-shanghai,Alibaba Cloud Shanghai Region,Alibaba Cloud,Shanghai,China,31.2304,121.4737,metro,Operational,Cloud region / multi-zone footprint,,12,"Published Alibaba Cloud compute footprint in Shanghai, representing 12 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-qingdao,Alibaba Cloud Qingdao Region,Alibaba Cloud,Qingdao,China,36.0671,120.3826,metro,Operational,Cloud region / multi-zone footprint,,2,"Published Alibaba Cloud compute footprint in Qingdao, representing 2 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-beijing,Alibaba Cloud Beijing Region,Alibaba Cloud,Beijing,China,39.9042,116.4074,metro,Operational,Cloud region / multi-zone footprint,,12,"Published Alibaba Cloud compute footprint in Beijing, representing 12 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-zhangjiakou,Alibaba Cloud Zhangjiakou Region,Alibaba Cloud,Zhangjiakou,China,40.7675,114.886,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Alibaba Cloud compute footprint in Zhangjiakou, representing 3 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-hohhot,Alibaba Cloud Hohhot Region,Alibaba Cloud,Hohhot,China,40.8426,111.7492,metro,Operational,Cloud region / multi-zone footprint,,2,"Published Alibaba Cloud compute footprint in Hohhot, representing 2 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-ulanqab,Alibaba Cloud Ulanqab Region,Alibaba Cloud,Ulanqab,China,40.9948,113.1326,metro,Operational,Cloud region / multi-zone footprint,,4,"Published Alibaba Cloud compute footprint in Ulanqab, representing 4 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-wuhan,Alibaba Cloud Wuhan Local Region,Alibaba Cloud,Wuhan,China,30.5928,114.3055,metro,Operational,Cloud region / multi-zone footprint,,1,"Published Alibaba Cloud compute footprint in Wuhan, representing 1 independently powered and networked availability zone.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-shenzhen,Alibaba Cloud Shenzhen Region,Alibaba Cloud,Shenzhen,China,22.5431,114.0579,metro,Operational,Cloud region / multi-zone footprint,,6,"Published Alibaba Cloud compute footprint in Shenzhen, representing 6 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-heyuan,Alibaba Cloud Heyuan Region,Alibaba Cloud,Heyuan,China,23.7437,114.7009,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Alibaba Cloud compute footprint in Heyuan, representing 3 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-guangzhou,Alibaba Cloud Guangzhou Region,Alibaba Cloud,Guangzhou,China,23.1291,113.2644,metro,Operational,Cloud region / multi-zone footprint,,2,"Published Alibaba Cloud compute footprint in Guangzhou, representing 2 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-chengdu,Alibaba Cloud Chengdu Region,Alibaba Cloud,Chengdu,China,30.5728,104.0668,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Alibaba Cloud compute footprint in Chengdu, representing 3 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
alibaba-zhongwei,Alibaba Cloud Zhongwei Region,Alibaba Cloud,Zhongwei,China,37.5003,105.1968,metro,Operational,Cloud region / multi-zone footprint,,2,"Published Alibaba Cloud compute footprint in Zhongwei, representing 2 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-beijing,Tencent Cloud Beijing Region,Tencent Cloud,Beijing,China,39.9442,116.4474,metro,Operational,Cloud region / multi-zone footprint,,6,"Published Tencent Cloud compute footprint in Beijing, representing 6 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-shanghai,Tencent Cloud Shanghai Region,Tencent Cloud,Shanghai,China,31.2704,121.5137,metro,Operational,Cloud region / multi-zone footprint,,6,"Published Tencent Cloud compute footprint in Shanghai, representing 6 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-guangzhou,Tencent Cloud Guangzhou Region,Tencent Cloud,Guangzhou,China,23.1691,113.3044,metro,Operational,Cloud region / multi-zone footprint,,5,"Published Tencent Cloud compute footprint in Guangzhou, representing 5 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-nanjing,Tencent Cloud Nanjing Region,Tencent Cloud,Nanjing,China,32.0603,118.7969,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Tencent Cloud compute footprint in Nanjing, representing 3 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-chengdu,Tencent Cloud Chengdu Region,Tencent Cloud,Chengdu,China,30.6128,104.1068,metro,Operational,Cloud region / multi-zone footprint,,2,"Published Tencent Cloud compute footprint in Chengdu, representing 2 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-chongqing,Tencent Cloud Chongqing Region,Tencent Cloud,Chongqing,China,29.4316,106.9123,metro,Operational,Cloud region / multi-zone footprint,,1,"Published Tencent Cloud compute footprint in Chongqing, representing 1 independently powered and networked availability zone.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-shenzhen-finance,Tencent Cloud Shenzhen Finance Region,Tencent Cloud,Shenzhen,China,22.5831,114.0979,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Tencent Cloud compute footprint in Shenzhen, representing 3 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
tencent-shanghai-finance,Tencent Cloud Shanghai Finance Region,Tencent Cloud,Shanghai,China,31.1904,121.4337,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Tencent Cloud compute footprint in Shanghai, representing 3 independently powered and networked availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://proxy-hk.tencentcloud.com/pt/document/product/213/6091?has_map=2,2026-09-03,The operator discloses the region and zone count but not public street addresses. The point is a generalized metro anchor and must not be interpreted as a facility coordinate.
chindata-datong-taihang,Taihang Mountain Energy and IT Industrial Campus,Chindata Group,Datong,China,40.0768,113.3001,metro,Operational,Hyperscale campus,,1,Pan-Beijing hyperscale campus in Shanxi built to serve large-scale digital workloads.,Compute; storage; carrier connectivity; cloud and AI infrastructure,https://www.chindatagroup.com/upload/admin/20200820/4c6f5ad6d5abf794547e7d6b41a6f195.pdf,2026-09-03,Public documentation establishes the named campus and city or region. The displayed coordinate is generalized because a verified building coordinate is not published.
chindata-zhangjiakou-cluster,Chindata Zhangjiakou Cluster,Chindata Group,Zhangjiakou,China,40.7275,114.826,metro,Operational,Hyperscale cluster,,1,Pan-Beijing hyperscale data-center cluster documented around Zhangjiakou.,Compute; storage; carrier connectivity; cloud and AI infrastructure,https://www.chindatagroup.com/upload/admin/20200820/4c6f5ad6d5abf794547e7d6b41a6f195.pdf,2026-09-03,Public documentation establishes the named campus and city or region. The displayed coordinate is generalized because a verified building coordinate is not published.
china-mobile-huainan,China Mobile Huainan Data Center,China Mobile,Huainan,China,32.6255,116.9999,metro,Operational,Carrier hyperscale campus,,1,Major China Mobile data center described as a large East China computing facility.,Compute; storage; carrier connectivity; cloud and AI infrastructure,https://www.chinamobileltd.com/en/ir/reports/ar2023.pdf,2026-09-03,Public documentation establishes the named campus and city or region. The displayed coordinate is generalized because a verified building coordinate is not published.
china-mobile-nanjing,China Mobile Nanjing Data Center,China Mobile,Nanjing,China,32.1003,118.8369,metro,Operational,Carrier hyperscale campus,,1,Large carrier campus designed for approximately 19000 racks and 300000 servers.,Compute; storage; carrier connectivity; cloud and AI infrastructure,https://www.chinamobileltd.com/en/ir/reports/ar2023.pdf,2026-09-03,Public documentation establishes the named campus and city or region. The displayed coordinate is generalized because a verified building coordinate is not published.
volcengine-beijing,Volcengine Beijing Region,Volcengine,Beijing,China,39.8642,116.3674,metro,Operational,Cloud region / multi-zone footprint,,9,"Published Volcengine compute footprint in Beijing, representing 9 documented availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.volcengine.com/docs/6534/1131814,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
volcengine-beijing-2,Volcengine Beijing 2 Region,Volcengine,Beijing,China,39.9842,116.3674,metro,Operational,Cloud region / multi-zone footprint,,2,"Published Volcengine compute footprint in Beijing, representing 2 documented availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.volcengine.com/docs/6534/1131814,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
volcengine-datong,Volcengine Datong Region,Volcengine,Datong,China,40.1168,113.2401,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Volcengine compute footprint in Datong, representing 3 documented availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.volcengine.com/docs/6534/1131814,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
volcengine-ulanqab,Volcengine Ulanqab Region,Volcengine,Ulanqab,China,41.0348,113.1926,metro,Operational,Cloud region / multi-zone footprint,,1,"Published Volcengine compute footprint in Ulanqab, representing 1 documented availability zone or region.",Cloud compute; storage; networking; AI and accelerator services,https://www.volcengine.com/docs/6534/1131814,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
volcengine-shanghai,Volcengine Shanghai Region,Volcengine,Shanghai,China,31.2304,121.5537,metro,Operational,Cloud region / multi-zone footprint,,3,"Published Volcengine compute footprint in Shanghai, representing 3 documented availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.volcengine.com/docs/6534/1131814,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
volcengine-guangzhou,Volcengine Guangzhou Region,Volcengine,Guangzhou,China,23.0891,113.3044,metro,Operational,Cloud region / multi-zone footprint,,4,"Published Volcengine compute footprint in Guangzhou, representing 4 documented availability zones.",Cloud compute; storage; networking; AI and accelerator services,https://www.volcengine.com/docs/6534/1131814,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
huawei-beijing,Huawei Cloud Beijing Region,Huawei Cloud,Beijing,China,39.9042,116.3274,metro,Operational,Cloud region / multi-zone footprint,,1,"Published Huawei Cloud compute footprint in Beijing, representing 1 documented availability zone or region.",Cloud compute; storage; networking; AI and accelerator services,https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
huawei-ulanqab,Huawei Cloud Ulanqab Region,Huawei Cloud,Ulanqab,China,40.9548,113.0726,metro,Operational,Cloud region / multi-zone footprint,,1,"Published Huawei Cloud compute footprint in Ulanqab, representing 1 documented availability zone or region.",Cloud compute; storage; networking; AI and accelerator services,https://support.huaweicloud.com/intl/en-us/secmaster_faq/secmaster-faq-pdf.pdf,2026-09-03,"The source establishes a compute region or availability-zone footprint, not a public street address. The marker is intentionally generalized."
